resistivity;temperature;humidity;density;dust_capacity;particle_size;conductivity;dust_dispersiveness;formation
0,0849;1,36;1,19;1521,299277;2,370312;30,218950;average;coarse visible;condensation
0,0849;5,73;1,19;1258,419742;2,354288;38,271607;good;coarse visible;decomposition
359367,2061;9,82;5,72;1523,036964;2,363402;62,424786;average;fine-dispersed ultramicroscopic;decomposition
597866,5196;4,47;8,14;1282,541925;2,324742;38,957141;average;coarse visible;decomposition
548224,8554;19,64;7,09;1171,894093;2,365982;8,415121;average;coarse visible;decomposition
0,0849;17,53;7,57;990,515787;2,393644;26,915278;low;coarse visible;decomposition
0,0849;25,00;1,42;1130,273546;2,373064;0,415990;average;coarse visible;decomposition
0,0849;18,90;2,91;1185,720541;2,366680;17,950815;average;coarse visible;decomposition
891509,8645;20,41;1,19;1527,219812;2,418613;1,608949;average;coarse visible;condensation
500643,6247;23,78;4,65;865,696959;2,343452;43,567750;low;coarse visible;decomposition
224416,8196;25,00;5,43;1270,627241;2,354884;50,677000;good;coarse visible;decomposition
0,0849;18,49;1,19;1405,661600;2,380171;4,366513;average;coarse visible;decomposition
181009,7662;25,00;12,56;1133,536014;2,354880;12,226845;average;coarse microscopic;condensation
647560,3108;12,77;7,05;1340,019615;2,401867;0,415990;average;coarse microscopic;decomposition
598872,1845;-1,43;1,19;1006,747683;2,361200;40,355182;low;coarse visible;decomposition
0,0849;-0,23;9,52;1030,141740;2,371953;6,418282;good;coarse microscopic;condensation
0,0849;25,00;2,42;1062,454220;2,402357;23,596686;average;coarse visible;decomposition
89087,1354;-6,08;1,19;1193,218671;2,367400;2,919102;average;coarse visible;decomposition
32230,0210;6,81;2,08;845,618241;2,377006;30,905446;average;fine-dispersed ultramicroscopic;decomposition
130747,2609;25,00;1,19;1227,767213;2,372868;6,860072;good;coarse visible;decomposition
0,0849;25,00;1,19;1263,566354;2,336461;22,529349;average;coarse visible;decomposition
0,0849;18,65;4,16;1299,373027;2,355465;19,468659;average;coarse visible;decomposition
57948,4512;10,20;5,51;1084,544681;2,357422;14,767595;average;coarse visible;decomposition
907868,4758;15,72;1,99;1015,426222;2,348344;15,057772;good;coarse visible;decomposition
0,0849;-18,91;4,63;1239,190252;2,404852;20,838389;low;coarse visible;decomposition
144663,3793;-6,26;1,19;845,688898;2,365640;20,163741;low;coarse visible;decomposition
577186,5725;-2,59;2,18;1063,061922;2,358105;17,694996;average;coarse microscopic;condensation
338909,4933;25,00;6,75;755,985980;2,371857;18,630871;low;coarse visible;decomposition
0,0849;25,00;2,41;1379,186318;2,359690;41,674940;good;coarse visible;decomposition
2054,4056;25,00;5,36;1333,389377;2,384757;8,417816;average;coarse visible;decomposition
275118,7546;16,36;2,09;1224,972585;2,362025;24,011973;average;coarse visible;decomposition
0,0849;14,87;11,92;1110,745517;2,411026;17,407294;average;coarse visible;decomposition
544724,8157;4,47;4,02;1564,079605;2,353451;2,567307;average;coarse visible;decomposition
65430,9299;25,00;5,89;1563,484115;2,376839;0,415990;average;coarse visible;condensation
0,0849;9,57;2,69;1020,979266;2,360316;0,415990;average;coarse visible;decomposition
0,0849;25,00;2,29;1351,055919;2,355631;30,657788;average;coarse visible;decomposition
0,0849;25,00;1,19;960,569794;2,330580;16,398863;average;coarse visible;condensation
0,0849;14,60;8,69;1366,919291;2,356826;40,994333;average;coarse visible;decomposition
122325,5361;25,00;10,49;1596,554538;2,388879;45,375442;average;coarse visible;condensation
461784,1193;25,00;1,48;1365,956867;2,365091;12,540023;average;coarse visible;decomposition
0,0849;25,00;4,95;1295,775633;2,385693;71,544608;average;coarse visible;decomposition
377349,6907;8,32;1,60;1223,264560;2,356690;64,025062;good;coarse microscopic;decomposition
0,0849;17,35;4,02;1307,763661;2,362315;50,383605;average;coarse visible;decomposition
0,0849;25,00;1,19;1194,877542;2,332977;27,597191;average;coarse visible;decomposition
0,0849;25,00;10,96;1572,305959;2,347326;48,005266;average;coarse visible;condensation
583809,8722;25,00;6,60;958,977368;2,367621;75,631128;average;coarse visible;decomposition
0,0849;25,00;4,93;1697,137109;2,373905;46,324396;average;coarse visible;condensation
67877,9526;24,70;8,28;1367,443327;2,359600;47,440515;good;coarse visible;decomposition
51389,3184;0,21;4,45;1374,521822;2,380934;46,732915;average;coarse visible;decomposition
189489,7644;7,65;1,75;1315,109971;2,351550;68,277330;good;coarse visible;decomposition
202244,0192;24,72;9,72;1381,164943;2,360086;59,375983;average;coarse visible;condensation
1116060,2215;23,48;6,37;1141,304793;2,393367;41,654204;good;coarse visible;decomposition
0,0849;1,68;1,19;1466,685979;2,376855;17,224091;average;coarse visible;decomposition
0,0849;14,29;7,66;1027,434277;2,354992;51,219553;average;coarse visible;decomposition
0,0849;1,71;8,88;1068,386672;2,353415;15,602975;average;coarse microscopic;decomposition
526769,9072;13,35;6,17;899,593367;2,354775;42,034971;average;coarse microscopic;decomposition
0,0849;10,87;2,91;1095,311449;2,385470;10,848741;average;coarse visible;decomposition
0,0849;-13,36;1,19;1162,952599;2,388983;16,550636;good;coarse visible;decomposition
0,0849;25,00;6,65;1226,293060;2,372396;52,403099;average;coarse visible;decomposition
25600,3813;20,18;3,83;972,888473;2,400497;0,415990;good;coarse visible;decomposition
902281,5953;12,06;1,19;1062,114304;2,381180;35,588528;average;coarse visible;condensation
202483,3806;20,73;1,19;1257,915206;2,404863;15,298922;average;fine-dispersed ultramicroscopic;decomposition
219694,5041;4,73;7,59;1264,135976;2,344696;41,121616;good;coarse visible;condensation
497609,9860;19,66;4,18;1204,801358;2,334870;32,033185;average;coarse visible;decomposition
0,0849;25,00;4,24;1472,326795;2,376531;0,415990;average;coarse microscopic;condensation
754573,7742;22,86;1,19;1500,116720;2,379104;25,228715;average;coarse microscopic;decomposition
363576,9657;-3,84;1,65;1742,712744;2,362432;17,247855;average;coarse microscopic;decomposition
542842,1325;-2,69;3,61;1119,748835;2,364917;18,100217;average;coarse microscopic;decomposition
301297,9013;25,00;3,39;1675,696557;2,349326;40,379234;average;coarse visible;decomposition
638454,4996;17,42;3,65;1398,132369;2,387803;41,708541;average;coarse microscopic;decomposition
130993,0397;5,98;10,70;1495,168448;2,363657;21,372588;average;coarse visible;decomposition
697259,2508;12,15;5,87;1286,269218;2,372370;29,902443;average;coarse visible;decomposition
538343,3623;25,00;4,88;1140,273928;2,380492;37,672461;average;coarse visible;decomposition
556855,0530;25,00;3,82;1448,671291;2,384913;20,719175;good;fine-dispersed ultramicroscopic;decomposition
0,0849;24,31;8,80;1154,991335;2,329470;61,347886;average;coarse visible;decomposition
0,0849;25,00;1,19;1136,194446;2,376321;6,014325;average;coarse visible;condensation
0,0849;5,08;7,02;967,352402;2,349421;60,907600;average;coarse microscopic;condensation
326224,9501;17,02;1,19;1685,917943;2,395703;46,661611;average;coarse microscopic;decomposition
0,0849;-8,85;1,19;1131,951249;2,368405;12,044551;good;coarse visible;decomposition
0,0849;25,00;3,85;1250,921850;2,354851;0,415990;good;coarse visible;decomposition
0,0849;25,00;1,19;972,264108;2,364673;12,733124;average;coarse visible;decomposition
0,0849;12,63;6,99;1692,329438;2,378425;22,821474;average;coarse visible;decomposition
104960,6136;25,00;5,39;882,353230;2,354528;27,619207;low;coarse visible;decomposition
0,0849;25,00;5,88;823,916848;2,404478;58,470718;good;coarse visible;decomposition
0,0849;25,00;4,86;1313,372900;2,398199;44,637413;good;coarse microscopic;decomposition
0,0849;17,61;3,40;954,661420;2,371750;38,494298;average;coarse visible;decomposition
792264,5004;-11,72;1,19;963,889865;2,349661;35,841846;average;coarse visible;decomposition
0,0849;9,10;1,19;1375,054110;2,420372;34,559718;average;coarse visible;decomposition
202826,6374;20,30;3,15;1076,217684;2,358559;55,012258;average;coarse visible;condensation
1103690,3103;17,50;1,19;1230,350387;2,374295;32,352739;average;coarse visible;decomposition
0,0849;25,00;2,21;1412,465314;2,364431;8,327379;average;coarse visible;decomposition
0,0849;25,00;11,17;1323,241901;2,379106;52,095544;average;coarse visible;decomposition
0,0849;-3,14;5,78;1175,175652;2,359905;0,415990;average;coarse visible;decomposition
0,0849;1,33;1,19;1485,930690;2,346491;24,055801;low;coarse visible;decomposition
125164,2316;16,23;12,08;1372,195614;2,369484;13,665211;average;coarse visible;decomposition
633491,5811;25,00;1,19;1088,172424;2,395857;44,478497;average;coarse microscopic;decomposition
118291,8571;25,00;6,91;1580,353549;2,376277;47,379927;average;coarse visible;decomposition
190486,1810;8,80;1,71;1078,011430;2,346944;55,242291;average;coarse visible;decomposition
128811,5019;25,00;9,22;1106,976959;2,395632;48,314454;average;coarse visible;decomposition
683527,0249;25,00;4,15;1235,583188;2,385480;22,964467;average;coarse visible;condensation
871740,3723;25,00;2,36;1420,064602;2,356546;38,367683;average;coarse microscopic;decomposition
611517,9925;0,22;1,19;1594,605233;2,359881;19,995398;average;coarse visible;decomposition
787713,5508;4,05;1,19;1194,810964;2,381199;36,580359;good;coarse visible;decomposition
838225,9005;7,13;3,43;1354,987116;2,385768;18,940788;average;coarse visible;decomposition
218114,4716;18,85;1,19;1324,388737;2,331350;75,479167;average;coarse microscopic;decomposition
0,0849;25,00;6,11;1411,581730;2,398408;7,677154;average;coarse visible;condensation
572687,3329;25,00;3,32;1299,051872;2,365634;21,060095;good;coarse visible;condensation
0,0849;18,96;1,19;954,821961;2,401692;14,671743;good;coarse visible;decomposition
312220,6906;-4,44;1,19;1119,929611;2,391747;6,292342;average;coarse visible;decomposition
604727,7664;9,07;1,19;971,717623;2,374875;27,592451;average;coarse visible;decomposition
149518,0556;-0,78;7,90;1113,660955;2,307789;19,953310;good;coarse visible;decomposition
1727,1874;-19,14;4,94;1040,817707;2,375625;34,965442;average;coarse visible;decomposition
0,0849;25,00;1,19;1709,735666;2,404745;40,876965;average;coarse visible;decomposition
0,0849;25,00;3,72;1362,408720;2,357460;31,200923;average;coarse visible;decomposition
0,0849;8,64;1,19;1603,749129;2,360157;25,746408;average;coarse microscopic;decomposition
1105656,0059;11,10;5,61;755,985980;2,389132;39,176915;average;coarse visible;decomposition
0,0849;21,30;5,62;1200,785020;2,356074;27,225798;average;coarse visible;decomposition
574106,8399;24,33;1,19;1638,622804;2,388296;17,799597;good;coarse visible;decomposition
0,0849;-20,00;3,34;1036,667083;2,381971;41,717481;good;coarse visible;decomposition
0,0849;25,00;11,25;755,985980;2,386487;29,610809;good;coarse visible;decomposition
0,0849;-12,90;5,06;1324,173351;2,369488;0,415990;low;coarse microscopic;decomposition
1331136,7441;13,92;1,19;1039,570281;2,375374;45,058643;average;coarse visible;decomposition
160328,5303;8,77;1,19;1123,179289;2,367491;37,097826;good;coarse visible;decomposition
308813,5021;4,84;6,82;1320,105730;2,359401;0,415990;average;coarse visible;condensation
227801,9390;17,34;3,02;1174,713199;2,406013;25,081979;average;coarse visible;decomposition
301556,5899;25,00;3,19;1076,189849;2,388003;32,678311;average;coarse visible;decomposition
0,0849;14,47;7,43;1037,538439;2,367304;49,892340;average;coarse visible;decomposition
0,0849;16,54;8,40;1387,125047;2,365201;17,680370;average;coarse visible;decomposition
0,0849;-20,00;8,84;1856,313225;2,398813;20,326508;low;coarse microscopic;decomposition
0,0849;-8,21;3,15;835,893228;2,370711;25,526280;good;coarse visible;decomposition
0,0849;25,00;6,87;1541,866483;2,369690;21,848773;average;coarse visible;decomposition
179576,1884;21,49;7,13;1530,766720;2,363475;30,171997;average;coarse visible;decomposition
0,0849;-1,92;8,50;1108,042467;2,376918;48,512653;good;coarse microscopic;condensation
7166,8425;25,00;2,02;1932,938795;2,406253;44,619133;average;coarse visible;condensation
988121,5556;19,42;1,19;1446,410237;2,412546;48,774631;average;coarse visible;decomposition
569588,2671;3,79;1,19;1269,522449;2,359252;22,257579;good;coarse visible;decomposition
552738,4871;10,50;3,57;1426,296395;2,391192;35,264224;average;coarse visible;decomposition
93854,7445;25,00;9,15;1288,065720;2,346810;16,000268;average;coarse visible;decomposition
804740,9745;25,00;1,19;1434,788198;2,365809;16,096196;good;coarse visible;decomposition
35126,2212;-1,59;10,23;843,318133;2,367514;31,723330;average;coarse visible;condensation
0,0849;-7,81;2,09;1181,159844;2,370940;42,332270;average;coarse visible;condensation
566360,1471;7,67;1,67;1351,824092;2,364259;20,852390;average;coarse microscopic;decomposition
0,0849;4,87;1,19;1292,262181;2,344733;40,816087;average;coarse visible;decomposition
0,0849;-5,41;5,70;1393,544031;2,365428;47,322663;average;coarse visible;decomposition
165165,3013;19,51;3,88;1244,319315;2,380154;24,672220;average;coarse visible;decomposition
142797,5634;25,00;3,37;1047,610458;2,360349;0,415990;average;coarse visible;decomposition
593581,9869;25,00;3,86;864,955721;2,368767;36,103322;average;coarse visible;decomposition
548700,1077;25,00;1,45;1196,887172;2,377421;24,106829;average;coarse visible;decomposition
44086,2221;7,91;13,71;1396,289901;2,371518;45,680899;average;coarse visible;decomposition
339143,3654;17,14;6,00;1057,091415;2,344915;60,246758;average;coarse visible;decomposition
397119,0946;18,99;2,10;1664,130812;2,386839;35,537032;good;coarse visible;decomposition
0,0849;24,45;1,19;1078,347275;2,383278;15,539361;average;coarse visible;decomposition
263361,9215;14,99;1,19;1252,713715;2,386624;41,748361;average;coarse visible;decomposition
0,0849;5,07;2,32;1469,825727;2,388531;36,192460;good;coarse visible;condensation
714545,9031;15,91;1,19;938,391009;2,389046;9,502200;average;coarse visible;condensation
0,0849;25,00;3,21;1275,443287;2,363069;24,482514;average;coarse visible;decomposition
0,0849;17,57;4,20;1507,206537;2,380602;23,890732;average;coarse visible;condensation
1109199,2085;4,55;1,19;1302,122029;2,332363;31,393470;average;coarse visible;decomposition
0,0849;3,44;1,19;1576,077816;2,404320;31,924243;average;coarse visible;decomposition
904887,0820;5,88;12,16;1528,323709;2,399047;12,137127;good;coarse microscopic;decomposition
0,0849;25,00;4,33;1396,564467;2,378392;24,537399;average;coarse visible;decomposition
281273,3686;25,00;3,38;835,154283;2,378301;25,587948;average;coarse visible;condensation
208670,2901;-16,06;1,19;1304,593415;2,335747;56,815128;average;coarse visible;decomposition
0,0849;25,00;1,45;1459,641227;2,402121;1,458125;average;coarse visible;decomposition
0,0849;-2,03;1,19;1293,584504;2,360094;75,954796;average;coarse visible;decomposition
0,0849;-7,81;1,19;903,121909;2,397089;15,363284;average;coarse visible;decomposition
0,0849;3,88;4,98;1258,143318;2,384782;33,393327;average;coarse visible;decomposition
36077,8283;13,76;5,41;1568,629925;2,405826;51,765620;average;coarse visible;decomposition
769502,8283;14,34;9,67;1416,721980;2,349870;10,791640;average;coarse visible;decomposition
0,0849;17,72;6,84;1069,576070;2,354720;42,088870;average;coarse visible;decomposition
225306,9127;24,46;1,19;1168,608718;2,377042;20,018983;average;fine-dispersed ultramicroscopic;decomposition
894009,0915;15,33;4,28;1218,821348;2,367780;19,493134;average;coarse visible;decomposition
434206,1068;12,20;1,19;1406,534298;2,346944;23,634045;average;coarse visible;decomposition
0,0849;12,35;7,22;1069,280889;2,409867;26,545249;average;coarse microscopic;decomposition
25154,4830;25,00;7,78;1282,607815;2,335663;44,565756;average;coarse visible;decomposition
931917,2044;25,00;10,56;1421,625238;2,331630;25,498054;average;coarse visible;condensation
526128,7832;25,00;10,27;755,985980;2,363672;47,512783;average;coarse visible;condensation
0,0849;11,05;7,97;1164,427849;2,387016;26,734115;average;coarse visible;condensation
0,0849;25,00;1,27;1661,581004;2,345514;27,038174;average;coarse visible;decomposition
294034,5583;8,90;1,19;920,454246;2,385730;53,543430;low;coarse visible;decomposition
0,0849;13,79;5,29;880,045500;2,381107;4,892437;average;coarse visible;decomposition
283345,5395;25,00;15,49;1432,103849;2,397831;34,025749;average;coarse microscopic;decomposition
140318,3803;25,00;1,19;1177,362658;2,362294;43,397099;average;coarse visible;decomposition
674731,8483;-18,80;1,19;1260,772011;2,360682;29,771466;good;coarse visible;decomposition
573940,0200;6,45;8,04;1007,290867;2,326282;26,811684;average;coarse visible;condensation
209161,4921;25,00;6,59;1461,731308;2,363285;25,499672;average;coarse visible;condensation
0,0849;25,00;3,48;867,011042;2,342741;0,415990;average;coarse visible;decomposition
0,0849;25,00;6,79;1789,266074;2,341017;39,082382;low;coarse visible;decomposition
792029,0310;25,00;4,26;1211,209989;2,372984;20,250645;average;coarse visible;condensation
365748,7990;6,03;1,50;1234,757742;2,340967;48,964654;average;coarse visible;decomposition
27485,0589;20,19;3,47;1584,313318;2,365813;42,265439;average;coarse visible;decomposition
0,0849;25,00;4,61;1373,998751;2,351165;11,403209;good;coarse visible;decomposition
1414881,6945;17,17;5,89;1266,495341;2,377814;52,550318;average;coarse visible;decomposition
454831,8584;-5,03;1,19;1419,127507;2,316799;29,092879;average;coarse visible;decomposition
0,0849;-1,09;5,83;1743,980142;2,394325;73,560027;average;coarse microscopic;decomposition
9229,1262;23,56;4,10;1557,244938;2,399501;36,216108;average;coarse visible;condensation
249702,0099;16,17;5,21;1405,246641;2,365799;0,415990;average;coarse visible;decomposition
0,0849;13,60;5,03;1313,724979;2,341436;49,051409;average;coarse microscopic;decomposition
1894011,6304;25,00;8,02;1266,395689;2,420372;46,261436;low;coarse microscopic;condensation
464044,8738;13,79;7,62;903,002159;2,401712;21,380047;average;coarse visible;decomposition
687156,3878;-6,12;1,28;1387,840325;2,361525;2,082639;average;coarse microscopic;decomposition
767181,9709;8,32;4,23;1352,454109;2,379275;36,658437;low;coarse visible;decomposition
421331,5147;-8,77;6,52;1175,135975;2,364665;9,818106;average;coarse visible;decomposition
0,0849;11,30;4,36;1491,253200;2,367067;53,847149;good;coarse visible;condensation
318786,4050;25,00;1,19;1024,929687;2,358976;46,499731;average;coarse visible;condensation
408441,4213;5,93;8,03;1632,566304;2,373512;29,968011;average;coarse visible;decomposition
151597,3371;-0,50;10,89;1046,001464;2,408633;43,789086;average;coarse visible;decomposition
0,0849;9,54;3,66;1192,752285;2,369657;34,753703;average;coarse visible;decomposition
93497,0258;-7,52;7,85;999,091053;2,359011;48,327467;good;coarse visible;decomposition
0,0849;25,00;6,80;1092,837499;2,348824;45,272721;average;coarse visible;decomposition
53966,3199;16,69;4,54;1104,218392;2,369460;39,257674;low;coarse visible;decomposition
251383,7793;-1,36;5,05;1387,028393;2,375501;23,474412;good;coarse visible;decomposition
0,0849;23,93;4,46;1088,605735;2,365067;3,870713;average;coarse microscopic;decomposition
0,0849;1,16;9,16;1253,137592;2,384058;19,793566;average;coarse visible;decomposition
283667,9449;23,86;6,64;1513,391786;2,387233;0,415990;average;coarse microscopic;decomposition
215106,4829;-0,72;4,11;1274,976607;2,387664;35,359766;average;coarse visible;decomposition
528917,1798;11,93;3,31;1397,439169;2,372113;31,700061;average;coarse visible;decomposition
0,0849;-15,20;1,19;879,849530;2,367015;69,529090;good;coarse visible;condensation
109074,1009;11,90;1,19;1620,671341;2,371154;48,206829;average;coarse microscopic;decomposition
421264,2373;21,17;1,19;1374,511721;2,345157;40,307808;average;coarse microscopic;decomposition
149004,8583;1,60;9,00;1028,667272;2,378927;22,095706;average;coarse microscopic;condensation
0,0849;25,00;1,42;1398,985093;2,360363;25,009957;average;coarse visible;decomposition
831183,5884;25,00;1,19;1211,426959;2,363594;11,370793;average;coarse microscopic;decomposition
679474,2585;23,27;1,99;1247,353568;2,367772;45,210735;average;coarse visible;decomposition
63626,3452;5,62;6,41;1346,531124;2,341541;7,121626;average;coarse visible;decomposition
0,0849;25,00;13,16;1100,658227;2,329400;6,770608;average;coarse visible;decomposition
0,0849;0,57;11,09;811,077996;2,368574;53,720719;average;coarse visible;condensation
757641,7298;24,87;7,38;895,095594;2,370919;24,599933;average;coarse visible;decomposition
863047,7275;-18,27;1,19;1099,781439;2,351996;60,321723;good;coarse visible;decomposition
87757,3047;24,58;4,02;1107,702450;2,369640;72,566823;average;coarse visible;decomposition
0,0849;9,28;1,19;1406,097353;2,362924;53,284175;average;coarse visible;decomposition
683129,5361;25,00;8,07;1286,158286;2,391459;28,978567;average;coarse visible;decomposition
549730,2732;25,00;3,94;998,039531;2,393144;40,921155;average;coarse visible;decomposition
0,0849;7,18;8,87;1125,681606;2,363042;23,371614;good;coarse visible;decomposition
0,0849;25,00;6,87;1291,012462;2,355631;27,895835;average;coarse visible;decomposition
0,0849;3,56;5,82;1180,166626;2,351147;0,415990;average;coarse microscopic;decomposition
410192,3180;25,00;1,19;989,488151;2,358861;21,165764;average;coarse visible;decomposition
906845,7056;-12,94;7,33;1288,654780;2,355151;79,878748;good;coarse visible;decomposition
0,0849;25,00;5,43;1198,030874;2,360290;24,953195;low;coarse visible;decomposition
983699,3860;2,62;1,19;1323,074537;2,403578;16,920366;good;coarse visible;decomposition
0,0849;-12,71;6,27;1274,620445;2,388336;7,524965;average;coarse visible;decomposition
118236,5283;20,78;2,41;1194,464892;2,390803;13,924177;average;coarse microscopic;decomposition
45844,8344;21,00;8,11;1550,732847;2,371874;27,852199;good;coarse visible;decomposition
0,0849;8,72;2,72;1709,171808;2,363021;61,519062;good;coarse microscopic;decomposition
515488,1492;6,11;4,19;808,269356;2,398332;35,971004;average;coarse visible;decomposition
0,0849;5,05;2,94;1011,671357;2,338518;45,932918;good;coarse microscopic;decomposition
0,0849;1,40;8,98;1419,839422;2,408635;36,479291;good;coarse visible;condensation
789036,6089;7,03;1,19;1153,899515;2,386455;27,070644;average;coarse visible;decomposition
176646,2699;15,75;1,36;1271,044450;2,364686;30,040367;good;coarse visible;decomposition
107334,3750;-6,41;2,46;887,244441;2,353996;58,899671;average;coarse visible;decomposition
286763,2068;3,07;3,92;1071,118976;2,418610;42,781710;low;coarse microscopic;decomposition
807044,8578;22,69;8,25;1320,088122;2,376951;23,707719;average;coarse visible;decomposition
26647,0845;25,00;3,89;998,042013;2,352211;32,588849;average;coarse visible;condensation
247931,5873;25,00;4,93;1312,820296;2,358436;34,836635;good;coarse visible;condensation
6035,3280;18,82;1,19;1370,060836;2,354690;31,485157;average;coarse visible;decomposition
54981,4613;8,05;1,19;1176,740674;2,348345;20,455693;average;fine-dispersed ultramicroscopic;condensation
362326,9178;25,00;3,50;1025,864664;2,374327;13,486264;average;coarse visible;decomposition
277788,7151;7,53;2,40;997,892025;2,342295;34,299571;average;coarse visible;condensation
0,0849;4,24;6,85;1243,471026;2,420372;31,263855;average;coarse visible;decomposition
443971,4123;19,77;1,19;986,990354;2,375355;25,513221;good;coarse visible;condensation
690604,1354;-2,76;1,19;1016,072038;2,387199;14,575451;average;coarse visible;decomposition
0,0849;13,81;1,19;1364,172685;2,369981;43,563567;average;coarse visible;decomposition
0,0849;25,00;2,75;1165,327414;2,385052;15,017778;average;coarse visible;condensation
89348,8520;-7,96;3,83;1039,419410;2,378388;52,695668;average;coarse microscopic;decomposition
706098,9636;-3,96;4,32;1033,265181;2,383360;10,757069;average;coarse visible;decomposition
0,0849;25,00;10,21;1128,200161;2,364855;39,788651;average;coarse visible;condensation
0,0849;-8,38;4,15;1332,792778;2,404058;36,040405;average;coarse visible;decomposition
0,0849;6,91;1,19;1202,206382;2,362523;12,753886;average;fine-dispersed ultramicroscopic;decomposition
0,0849;-5,52;7,04;969,189059;2,389434;19,648028;average;coarse visible;decomposition
1286606,8484;13,67;5,56;1138,437132;2,390906;0,415990;low;coarse visible;decomposition
0,0849;25,00;4,15;1079,536449;2,344702;46,999019;average;coarse visible;decomposition
0,0849;13,72;1,19;1396,196197;2,366142;20,631998;average;coarse visible;decomposition
751800,4435;25,00;1,19;1308,763700;2,392892;19,434070;average;coarse visible;decomposition
0,0849;6,09;8,22;1436,094463;2,368142;37,629489;average;coarse visible;condensation
914720,9218;21,51;1,19;1369,606547;2,367686;20,532765;good;coarse visible;condensation
0,0849;25,00;9,72;1249,909952;2,350288;29,552150;average;coarse visible;decomposition
0,0849;14,51;4,03;1309,151585;2,364764;52,200872;good;coarse visible;decomposition
0,0849;22,49;8,34;1649,899485;2,377308;13,677631;average;coarse visible;condensation
150455,2207;21,67;9,37;1302,549731;2,407179;80,578345;average;coarse visible;decomposition
